date,store_id,sku,product_category,total_sales_units,on_hand_inventory_units,replenishment_units,inventory_pipeline,units_in_transit,units_in_dc,units_on_order,units_under_promotion,shelf_capacity
2021-04-28,531,64,Category 01,0,44,0,42,0,0,0,0,24
2021-04-29,531,64,Category 01,7,39,0,37,0,0,0,0,24
2021-05-01,531,64,Category 01,7,2,0,0,0,0,0,0,24
2019-01-05,545,64,Category 01,16,1,36,49,36,12,0,0,25
2019-01-06,545,64,Category 01,4,0,0,84,36,12,36,0,25
2019-01-07,545,64,Category 01,0,39,12,84,12,0,36,0,25
2019-01-10,545,64,Category 01,10,24,0,84,0,0,60,0,25
2019-01-12,545,64,Category 01,12,11,60,92,60,0,24,0,25
2019-01-14,545,64,Category 01,6,59,0,83,0,0,24,0,25
2019-01-15,545,64,Category 01,7,58,0,115,0,0,60,0,25
2019-01-17,545,64,Category 01,9,50,0,107,0,0,60,0,25
2019-01-18,545,64,Category 01,19,34,0,139,0,0,108,0,25
2019-01-20,545,64,Category 01,10,26,0,131,0,12,96,0,25
2019-01-21,545,64,Category 01,8,21,0,102,0,0,84,0,25
2019-01-24,545,64,Category 01,8,63,12,108,12,12,24,0,25
2019-01-26,545,64,Category 01,10,57,12,105,12,0,36,0,25
2019-01-28,545,64,Category 01,5,64,24,100,24,0,12,0,25
2019-01-30,545,64,Category 01,28,59,0,71,0,0,12,0,25
2019-01-31,545,64,Category 01,15,50,0,95,0,0,48,0,25
2019-02-01,545,64,Category 01,20,33,0,90,0,0,60,0,25
2019-02-02,545,64,Category 01,8,28,0,85,0,0,60,0,25
2019-02-07,545,64,Category 01,13,44,0,113,0,12,60,0,25
2019-02-10,545,64,Category 01,12,46,0,91,0,0,48,0,25
2019-02-13,545,64,Category 01,13,17,0,62,0,48,0,0,25
2019-02-18,545,64,Category 01,18,15,0,12,0,0,0,0,25
2019-02-22,545,64,Category 01,11,127,12,136,12,0,0,0,25
2019-02-26,545,64,Category 01,19,111,12,147,12,24,0,0,25
2019-02-27,545,64,Category 01,16,109,0,145,0,36,0,0,25
2019-02-28,545,64,Category 01,12,103,36,148,36,12,0,0,25
2019-03-03,545,64,Category 01,17,114,0,126,0,12,0,0,36
2019-03-04,545,64,Category 01,13,107,0,140,0,36,0,0,36
2019-03-08,545,64,Category 01,7,124,12,133,12,0,0,0,36
2019-03-10,545,64,Category 01,10,111,0,111,0,0,0,0,36
2019-03-11,545,64,Category 01,18,99,0,120,0,24,0,0,36
2019-03-13,545,64,Category 01,15,98,12,110,12,0,0,0,36
2019-03-14,545,64,Category 01,0,110,0,122,0,12,0,0,36
2019-03-15,545,64,Category 01,20,96,12,105,12,0,0,0,36
2019-03-16,545,64,Category 01,7,101,0,101,0,0,0,0,36
2019-03-18,545,64,Category 01,12,93,0,90,0,0,0,0,36
2019-03-19,545,64,Category 01,13,83,0,92,0,12,0,0,36
2019-03-21,545,64,Category 01,8,82,12,103,12,12,0,0,36
2019-03-22,545,64,Category 01,15,79,12,91,12,0,0,0,36
2019-03-23,545,64,Category 01,6,88,0,100,0,12,0,0,36
2019-03-25,545,64,Category 01,11,91,0,88,0,0,0,0,36
2019-03-26,545,64,Category 01,17,77,0,134,0,60,0,0,36
2019-04-02,545,64,Category 01,8,139,24,160,24,0,0,0,36
2019-04-03,545,64,Category 01,6,157,0,169,0,12,0,0,36
2019-04-05,545,64,Category 01,7,151,12,160,12,0,0,0,36
2019-04-07,545,64,Category 01,13,142,0,142,0,0,0,0,36
2019-04-12,545,64,Category 01,7,137,0,134,0,0,0,0,36
2019-04-13,545,64,Category 01,8,3,0,0,0,0,0,0,36
2019-04-14,545,64,Category 01,9,126,0,123,0,0,0,0,36
2019-04-15,545,64,Category 01,6,123,0,120,0,0,0,0,36
2019-04-18,545,64,Category 01,6,109,0,106,0,0,0,0,36
2019-04-20,545,64,Category 01,6,95,0,104,0,12,0,0,36
2019-04-21,545,64,Category 01,5,93,0,102,0,12,0,0,36
2019-04-23,545,64,Category 01,11,94,0,163,0,72,0,0,36
2019-04-24,545,64,Category 01,12,85,0,154,0,72,0,0,36
2019-04-25,545,64,Category 01,12,76,72,157,72,12,0,0,36
2019-04-27,545,64,Category 01,33,109,12,133,12,12,0,0,36
2019-04-28,545,64,Category 01,13,111,0,147,0,36,0,0,36
2019-04-30,545,64,Category 01,7,118,24,163,24,24,0,0,36
2019-05-02,545,64,Category 01,8,145,12,157,12,0,0,0,36
2019-05-03,545,64,Category 01,5,155,0,167,0,12,0,0,36
2019-05-08,545,64,Category 01,4,155,12,164,12,0,0,0,36
2019-05-10,545,64,Category 01,7,0,0,0,0,0,0,0,36
2019-05-13,545,64,Category 01,6,157,0,154,0,0,0,0,36
2019-05-14,545,64,Category 01,5,155,0,152,0,0,0,0,36
2019-05-15,545,64,Category 01,6,152,0,149,0,0,0,0,36
2019-05-16,545,64,Category 01,5,150,0,147,0,0,0,0,36
2019-05-20,545,64,Category 01,8,132,0,129,0,0,0,0,36
2019-05-26,545,64,Category 01,7,101,0,110,0,12,0,0,36
2019-05-30,545,64,Category 01,6,120,60,177,60,0,0,0,36
2019-05-31,545,64,Category 01,5,175,0,175,0,0,0,0,36
2019-06-01,545,64,Category 01,6,176,0,173,0,0,0,0,36
2019-06-05,545,64,Category 01,10,157,0,166,0,12,0,0,36
2019-06-08,545,64,Category 01,10,161,0,158,0,0,0,0,36
2019-06-09,545,64,Category 01,6,157,0,154,0,0,0,0,36
2019-06-10,545,64,Category 01,8,152,0,161,0,12,0,0,36
2019-06-12,545,64,Category 01,7,158,0,155,0,0,0,0,36
2019-06-13,545,64,Category 01,12,149,0,146,0,0,0,0,36
2019-06-14,545,64,Category 01,14,138,0,135,0,0,0,0,36
2019-06-17,545,64,Category 01,8,124,24,145,24,0,0,0,36
2019-06-18,545,64,Category 01,5,143,0,155,0,12,0,0,36
2019-06-19,545,64,Category 01,8,141,12,150,12,0,0,0,36
2019-06-22,545,64,Category 01,6,270,0,342,0,72,0,0,36
2019-06-24,545,64,Category 01,10,323,0,320,0,0,0,0,36
2019-06-26,545,64,Category 01,7,307,36,376,72,0,0,0,36
2019-06-29,545,64,Category 01,12,167,0,179,0,12,0,0,36
2019-07-01,545,64,Category 01,10,160,12,181,12,12,0,0,36
2019-07-03,545,64,Category 01,14,165,12,177,12,0,0,0,36
2019-07-10,545,64,Category 01,0,169,12,181,12,0,0,0,36
2019-07-12,545,64,Category 01,6,173,0,173,0,0,0,0,36
2019-07-16,545,64,Category 01,0,167,0,164,0,0,0,0,36
2019-07-17,545,64,Category 01,12,158,0,155,0,0,0,0,36
2019-07-18,545,64,Category 01,8,153,0,150,0,0,0,0,36
2019-07-20,545,64,Category 01,4,285,0,282,0,0,0,0,36
2019-07-24,545,64,Category 01,5,255,0,372,0,120,0,0,36
2019-07-26,545,64,Category 01,10,349,0,346,0,0,0,0,36
2019-07-31,545,64,Category 01,5,165,12,186,12,12,0,0,36
2019-08-01,545,64,Category 01,6,171,12,183,12,0,0,0,36
2019-08-02,545,64,Category 01,4,182,0,182,0,0,0,0,36
2019-08-04,545,64,Category 01,10,176,0,173,0,0,0,0,36
2019-08-07,545,64,Category 01,8,165,12,174,12,0,0,0,36
2019-08-10,545,64,Category 01,10,162,0,162,0,0,0,0,36
2019-08-11,545,64,Category 01,9,159,0,168,0,12,0,0,36
2019-08-15,545,64,Category 01,6,165,0,270,0,108,0,0,36
2019-08-16,545,64,Category 01,7,161,0,266,0,108,0,0,36
2019-08-20,545,64,Category 01,8,258,0,255,0,0,0,0,36
2019-08-22,545,64,Category 01,6,251,0,248,0,0,0,0,36
2019-08-23,545,64,Category 01,5,249,0,246,0,0,0,0,36
2019-08-24,545,64,Category 01,6,246,0,243,0,0,0,0,36
2019-08-26,545,64,Category 01,8,232,0,232,0,0,0,0,36
2019-08-27,545,64,Category 01,0,235,0,232,0,0,0,0,36
2019-08-29,545,64,Category 01,5,228,0,225,0,0,0,0,36
2019-08-30,545,64,Category 01,9,222,0,219,0,0,0,0,36
2019-09-02,545,64,Category 01,6,207,0,204,0,0,0,0,36
2019-09-05,545,64,Category 01,15,184,0,196,0,12,0,0,36
2019-09-07,545,64,Category 01,0,181,12,190,12,0,0,0,36
2019-09-12,545,64,Category 01,7,168,0,168,0,0,0,0,36
2019-09-13,545,64,Category 01,0,171,0,168,0,0,0,0,36
2019-09-14,545,64,Category 01,14,160,0,157,0,0,0,0,36
2019-09-15,545,64,Category 01,12,151,0,148,0,0,0,0,36
2019-09-16,545,64,Category 01,7,147,0,144,0,0,0,0,36
2019-09-18,545,64,Category 01,5,142,0,139,0,0,0,0,36
2019-09-19,545,64,Category 01,12,133,0,130,0,0,0,0,36
2019-09-20,545,64,Category 01,9,127,0,124,0,0,0,0,36
2019-09-22,545,64,Category 01,10,113,0,110,0,0,0,0,36
2019-09-23,545,64,Category 01,9,107,0,104,0,0,0,0,36
2019-09-27,545,64,Category 01,9,93,0,114,0,0,24,0,36
2019-09-28,545,64,Category 01,6,90,0,111,0,0,24,0,36
2019-10-05,545,64,Category 01,6,83,0,80,0,0,0,0,36
2019-10-06,545,64,Category 01,6,79,0,76,0,0,0,0,36
2019-10-08,545,64,Category 01,7,69,0,66,0,0,0,0,36
2019-10-09,545,64,Category 01,8,64,0,61,0,0,0,0,36
2019-10-11,545,64,Category 01,9,48,0,45,0,0,0,0,36
2019-10-13,545,64,Category 01,7,39,0,96,0,0,60,0,36
2019-10-14,545,64,Category 01,5,37,0,94,0,0,60,0,36
2019-10-15,545,64,Category 01,4,36,0,93,0,0,60,0,36
2019-10-17,545,64,Category 01,7,32,12,89,12,48,0,0,36
2019-10-18,545,64,Category 01,5,39,48,87,48,0,0,0,36
2019-10-21,545,64,Category 01,5,79,0,79,0,0,0,0,36
2019-10-23,545,64,Category 01,12,70,0,67,0,0,0,0,36
2019-10-24,545,64,Category 01,18,55,0,52,0,0,0,0,36
2019-10-25,545,64,Category 01,12,47,0,44,0,0,0,0,36
2019-10-26,545,64,Category 01,15,34,0,79,0,0,48,0,36
2019-10-27,545,64,Category 01,5,32,0,101,0,0,72,0,36
2019-10-29,545,64,Category 01,4,30,0,87,0,0,60,0,36
2019-11-02,545,64,Category 01,11,67,0,88,0,0,24,0,36
2019-11-03,545,64,Category 01,8,67,0,88,0,0,24,0,36
2019-11-06,545,64,Category 01,6,50,0,83,0,36,0,0,36
2019-11-07,545,64,Category 01,4,49,36,82,36,0,0,0,36
2019-11-09,545,64,Category 01,6,75,0,75,0,0,0,0,36
2019-11-11,545,64,Category 01,4,76,0,73,0,0,0,0,36
2019-11-14,545,64,Category 01,4,73,0,106,0,0,36,0,36
2019-11-16,545,64,Category 01,9,67,0,64,0,0,0,0,36
2019-11-17,545,64,Category 01,6,61,0,61,0,0,0,0,36
2019-11-18,545,64,Category 01,0,64,0,61,0,0,0,0,36
2019-11-19,545,64,Category 01,11,56,0,53,0,0,0,0,36
2019-11-20,545,64,Category 01,10,49,0,46,0,0,0,0,36
2019-11-21,545,64,Category 01,8,44,0,41,0,0,0,0,36
2019-11-22,545,64,Category 01,7,40,0,61,0,0,24,0,36
2019-11-24,545,64,Category 01,5,33,0,78,0,0,48,0,36
2019-11-29,545,64,Category 01,9,4,0,76,0,0,72,0,36
2019-12-03,545,64,Category 01,0,3,48,48,48,0,0,0,36
2019-12-07,545,64,Category 01,11,17,0,17,0,0,0,0,36
2019-12-12,545,64,Category 01,0,0,0,48,0,0,48,0,36
2019-12-15,545,64,Category 01,0,0,0,96,0,0,96,0,36
2019-12-16,545,64,Category 01,0,3,0,96,0,48,48,0,36
2019-12-20,545,64,Category 01,13,41,48,86,48,0,0,0,36
2019-12-21,545,64,Category 01,13,28,0,76,48,0,0,0,36
2019-12-26,545,64,Category 01,16,51,0,96,0,0,48,0,36
2019-12-28,545,64,Category 01,4,45,0,42,0,0,0,0,36
2020-01-04,545,64,Category 01,9,8,0,89,0,84,0,0,36
2020-01-06,545,64,Category 01,6,4,0,109,84,0,24,0,36
2020-01-07,545,64,Category 01,4,87,0,120,0,0,36,0,36
2020-01-09,545,64,Category 01,6,78,0,99,0,0,24,0,36
2020-01-10,545,64,Category 01,9,72,0,93,0,0,24,0,36
2020-01-16,545,64,Category 01,11,86,0,107,0,0,24,0,36
2020-01-18,545,64,Category 01,8,72,0,93,0,0,24,0,36
2020-01-20,545,64,Category 01,10,64,12,85,12,12,0,0,36
2020-01-22,545,64,Category 01,4,69,12,81,12,0,0,0,36
2020-01-25,545,64,Category 01,0,78,0,90,0,0,12,0,36
2020-01-26,545,64,Category 01,4,80,0,101,0,0,24,0,36
2020-01-28,545,64,Category 01,6,77,0,74,0,0,0,0,36
2020-01-29,545,64,Category 01,5,76,0,73,0,0,0,0,36
2020-01-30,545,64,Category 01,6,72,0,69,0,0,0,0,36
2020-01-31,545,64,Category 01,5,70,0,67,0,0,0,0,36
2020-02-02,545,64,Category 01,7,64,0,109,0,0,48,0,36
2020-02-04,545,64,Category 01,12,50,0,95,0,0,48,0,36
2020-02-05,545,64,Category 01,5,48,0,81,0,0,36,0,36
2020-02-06,545,64,Category 01,7,44,0,77,0,36,0,0,36
2020-02-07,545,64,Category 01,6,41,0,74,0,36,0,0,36
2020-02-09,545,64,Category 01,11,64,0,97,0,0,36,0,36
2020-02-10,545,64,Category 01,8,59,0,92,0,0,36,0,36
2020-02-12,545,64,Category 01,5,53,0,86,0,0,36,0,36
2020-02-14,545,64,Category 01,18,3,36,0,0,0,0,0,36
2020-02-15,545,64,Category 01,6,30,0,66,36,0,0,0,36
2020-02-16,545,64,Category 01,5,66,0,63,0,0,0,0,36
2020-02-19,545,64,Category 01,7,49,0,70,0,24,0,0,36
2020-02-24,545,64,Category 01,9,50,12,59,12,0,0,0,30
2020-02-25,545,64,Category 01,8,54,0,54,0,0,0,0,30
2020-02-27,545,64,Category 01,9,19,0,31,0,12,0,0,30
2020-02-29,545,64,Category 01,0,18,0,75,12,48,0,0,30
2020-03-02,545,64,Category 01,12,53,12,62,0,12,0,0,30
2020-03-03,545,64,Category 01,6,59,0,71,0,12,0,0,30
2020-03-05,545,64,Category 01,4,56,0,77,0,24,0,0,30
2020-03-10,545,64,Category 01,10,49,0,70,0,24,0,0,30
2020-03-12,545,64,Category 01,16,3,0,144,0,144,0,0,30
2020-03-13,545,64,Category 01,5,13,12,142,0,132,0,0,30
2020-03-16,545,64,Category 01,5,3,0,3,0,0,0,0,30
2020-03-17,545,64,Category 01,0,3,0,3,0,0,0,0,30
2020-03-20,545,64,Category 01,0,6,0,51,0,48,0,0,30
2020-03-23,545,64,Category 01,50,4,0,4,0,0,0,0,30
2020-03-24,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-03-25,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-03-26,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-03-27,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-03-30,545,64,Category 01,0,31,24,52,0,24,0,0,30
2020-03-31,545,64,Category 01,32,11,12,71,0,60,0,0,30
2020-04-01,545,64,Category 01,10,16,12,76,0,60,0,0,30
2020-04-02,545,64,Category 01,15,52,48,64,0,12,0,0,30
2020-04-03,545,64,Category 01,39,28,12,52,0,24,0,0,30
2020-04-05,545,64,Category 01,0,4,24,28,24,0,0,0,30
2020-04-09,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-13,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-14,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-17,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-18,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-19,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-20,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-21,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-23,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-24,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-27,545,64,Category 01,0,4,0,4,0,0,0,0,30
2020-04-30,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-07,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-09,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-10,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-11,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-12,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-21,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-23,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-24,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-25,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-26,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-27,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-05-31,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-03,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-05,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-08,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-09,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-13,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-16,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-17,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-19,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-23,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-24,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-25,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-06-26,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-01,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-03,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-07,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-10,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-11,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-13,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-16,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-18,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-24,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-26,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-07-29,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-03,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-05,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-06,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-09,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-15,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-19,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-23,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-25,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-26,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-28,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-30,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-08-31,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-01,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-04,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-05,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-06,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-08,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-10,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-13,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-17,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-18,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-19,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-25,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-09-29,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-10-01,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-10-09,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-10-10,545,64,Category 01,0,0,0,0,0,0,0,0,30
2020-10-19,545,64,Category 01,0,0,108,132,0,108,24,0,30
2020-10-21,545,64,Category 01,0,108,0,168,0,24,36,0,30
2020-10-23,545,64,Category 01,8,122,0,155,0,0,36,0,30
2020-10-31,545,64,Category 01,11,104,0,101,0,0,0,0,30
2020-11-01,545,64,Category 01,6,101,0,98,0,0,0,0,30
2020-11-06,545,64,Category 01,16,73,0,94,0,0,24,0,30
2020-11-08,545,64,Category 01,6,64,0,97,0,0,36,0,30
2020-11-10,545,64,Category 01,12,53,0,86,0,0,36,0,30
2020-11-12,545,64,Category 01,13,39,24,96,0,36,24,0,30
2020-11-14,545,64,Category 01,5,42,12,90,12,0,36,0,30
2020-11-17,545,64,Category 01,7,28,0,100,0,0,72,0,30
2020-11-19,545,64,Category 01,14,10,0,94,0,72,12,0,30
2020-11-21,545,64,Category 01,0,78,0,87,0,0,12,0,30
2020-11-22,545,64,Category 01,16,65,0,194,0,0,132,0,30
2020-11-23,545,64,Category 01,19,49,0,166,0,0,120,0,30
2020-11-28,545,64,Category 01,5,11,0,140,0,132,0,0,30
2020-11-29,545,64,Category 01,4,10,36,187,36,96,48,0,30
2020-12-02,545,64,Category 01,6,133,0,193,0,0,60,0,30
2020-12-04,545,64,Category 01,6,129,0,162,0,0,36,0,30
2020-12-08,545,64,Category 01,5,138,0,135,0,0,0,0,30
2020-12-11,545,64,Category 01,8,126,0,138,0,0,12,0,30
2020-12-12,545,64,Category 01,0,126,0,150,0,0,24,0,30
2020-12-13,545,64,Category 01,0,129,0,138,0,0,12,0,30
2020-12-14,545,64,Category 01,5,124,0,124,0,0,0,0,30
2020-12-15,545,64,Category 01,0,124,0,124,0,0,0,0,30
2020-12-18,545,64,Category 01,0,117,0,114,0,0,0,0,30
2020-12-20,545,64,Category 01,7,3,0,0,0,0,0,0,30
2020-12-23,545,64,Category 01,4,107,0,104,0,0,0,0,30
2020-12-24,545,64,Category 01,10,97,0,97,0,0,0,0,30
2020-12-25,545,64,Category 01,0,100,0,97,0,0,0,0,30
2021-01-01,545,64,Category 01,5,72,0,69,0,0,0,0,30
2021-01-02,545,64,Category 01,8,67,0,64,0,0,0,0,30
2021-01-04,545,64,Category 01,5,3,0,0,0,0,0,0,30
2021-01-12,545,64,Category 01,6,51,0,48,0,0,0,0,30
2021-01-13,545,64,Category 01,6,48,0,57,0,0,12,0,30
2021-01-14,545,64,Category 01,9,42,0,51,0,0,12,0,30
2021-01-16,545,64,Category 01,6,28,0,49,0,0,24,0,30
2021-01-17,545,64,Category 01,13,15,0,51,0,0,36,0,30
2021-01-18,545,64,Category 01,0,18,0,39,0,0,24,0,30
2021-01-19,545,64,Category 01,4,17,0,38,0,12,12,0,30
2021-01-21,545,64,Category 01,5,24,12,60,0,0,36,0,30
2021-01-22,545,64,Category 01,0,24,24,60,24,0,12,0,30
2021-01-23,545,64,Category 01,0,24,0,96,24,24,24,0,30
2021-01-28,545,64,Category 01,7,37,0,61,0,0,24,0,30
2021-02-02,545,64,Category 01,0,30,0,54,0,12,12,0,30
2021-02-07,545,64,Category 01,0,3,0,0,0,0,0,0,30
2021-02-08,545,64,Category 01,4,36,0,69,0,0,36,0,30
2021-02-09,545,64,Category 01,5,34,0,67,0,0,36,0,30
2021-02-10,545,64,Category 01,5,29,0,77,0,24,24,0,30
2021-02-11,545,64,Category 01,0,29,24,77,24,0,24,0,30
2021-02-12,545,64,Category 01,0,53,0,65,0,0,12,0,30
2021-02-13,545,64,Category 01,6,50,0,62,0,0,12,0,24
2021-02-14,545,64,Category 01,0,50,0,74,0,0,24,0,24
2021-02-15,545,64,Category 01,0,53,0,74,0,0,24,0,24
2021-02-16,545,64,Category 01,4,52,0,61,0,0,12,0,24
2021-02-17,545,64,Category 01,4,48,0,72,0,0,24,0,24
2021-02-18,545,64,Category 01,0,48,0,84,0,0,36,0,24
2021-02-19,545,64,Category 01,0,51,0,84,0,0,36,0,24
2021-02-20,545,64,Category 01,11,43,0,52,0,0,12,0,24
2021-02-21,545,64,Category 01,4,39,12,63,12,0,12,0,24
2021-02-22,545,64,Category 01,0,78,0,78,0,0,0,0,24
2021-02-23,545,64,Category 01,5,77,0,74,0,0,0,0,24
2021-02-24,545,64,Category 01,10,49,0,49,0,0,0,0,24
2021-02-25,545,64,Category 01,0,45,0,42,0,0,0,0,24
2021-02-26,545,64,Category 01,5,45,0,42,0,0,0,0,24
2021-02-27,545,64,Category 01,5,41,0,38,0,0,0,0,24
2021-02-28,545,64,Category 01,5,41,0,38,0,0,0,0,24
2021-03-01,545,64,Category 01,6,39,0,60,0,0,24,0,24
2021-03-02,545,64,Category 01,4,35,0,56,0,12,12,0,24
2021-03-03,545,64,Category 01,7,31,0,52,0,12,12,0,24
2021-03-04,545,64,Category 01,5,29,0,50,0,12,12,0,24
2021-03-05,545,64,Category 01,7,38,12,47,0,0,12,0,24
2021-03-06,545,64,Category 01,11,26,0,62,0,0,36,0,24
2021-03-07,545,64,Category 01,4,29,0,62,0,0,36,0,24
2021-03-08,545,64,Category 01,5,26,0,71,0,0,48,0,24
2021-03-09,545,64,Category 01,5,26,0,71,0,0,48,0,24
2021-03-10,545,64,Category 01,13,14,0,95,0,0,84,0,24
2021-03-11,545,64,Category 01,5,13,0,94,0,0,84,0,24
2021-03-12,545,64,Category 01,7,13,0,94,0,0,84,0,24
2021-03-13,545,64,Category 01,5,4,0,88,0,36,48,0,24
2021-03-14,545,64,Category 01,0,4,12,172,12,24,132,0,24
2021-03-15,545,64,Category 01,0,16,24,136,0,36,84,0,24
2021-03-16,545,64,Category 01,8,16,0,136,0,36,84,0,24
2021-03-17,545,64,Category 01,4,38,12,167,0,12,120,0,24
2021-03-18,545,64,Category 01,17,32,0,128,0,0,96,0,24
2021-03-19,545,64,Category 01,4,35,0,128,0,0,96,0,24
2021-03-20,545,64,Category 01,5,31,0,139,0,36,72,0,24
2021-03-21,545,64,Category 01,0,32,0,137,0,36,72,0,24
2021-03-22,545,64,Category 01,6,32,36,161,0,36,96,0,24
2021-03-23,545,64,Category 01,5,62,0,134,0,0,72,0,24
2021-03-24,545,64,Category 01,6,60,0,129,0,0,72,0,24
2021-03-25,545,64,Category 01,5,58,0,175,0,0,120,0,24
2021-03-26,545,64,Category 01,5,58,0,175,0,0,120,0,24
2021-03-27,545,64,Category 01,5,51,0,159,0,108,0,0,24
2021-03-28,545,64,Category 01,0,54,108,159,0,108,0,0,24
2021-03-29,545,64,Category 01,6,156,0,168,0,0,12,0,24
2021-03-30,545,64,Category 01,0,159,0,168,0,0,12,0,24
2021-03-31,545,64,Category 01,7,155,0,164,0,0,12,0,24
2021-04-01,545,64,Category 01,4,154,0,163,0,0,12,0,24
2021-04-02,545,64,Category 01,9,148,0,157,0,0,12,0,24
2021-04-03,545,64,Category 01,8,143,0,152,0,0,12,0,24
2021-04-04,545,64,Category 01,5,143,0,152,0,0,12,0,24
2021-04-05,545,64,Category 01,6,138,0,147,0,0,12,0,24
2021-04-06,545,64,Category 01,9,132,0,129,0,0,0,0,24
2021-04-07,545,64,Category 01,4,132,0,129,0,0,0,0,24
2021-04-08,545,64,Category 01,4,130,0,127,0,0,0,0,24
2021-04-09,545,64,Category 01,14,130,0,127,0,0,0,0,24
2021-04-10,545,64,Category 01,12,110,0,107,0,0,0,0,24
2021-04-11,545,64,Category 01,6,110,0,107,0,0,0,0,24
2021-04-12,545,64,Category 01,6,104,0,116,0,0,12,0,24
2021-04-13,545,64,Category 01,0,104,0,101,0,0,0,0,24
